Id,Balance,Amount,Currency,Type,Status,Modified,Trade Id,Instrument Symbol,Instrument Name,Commission,Account type
"912863684","5.61","-0.01","USD","TRADE","PROCESSED","2022-12-18 16:44:30","0061241d-0000-5552-0000-4b9000018faa_0061241d-0000-5552-0000-0000802701a2","XRP/EUR","Ripple / EUR","","CFD"
"912863628","5.62","-0.01","USD","TRADE","PROCESSED","2022-12-18 16:41:40","000c869d-0001-54c4-0000-4b9000207415_000c869d-0001-54c4-0000-0000803a0269","CHZ/USD","Chiliz / USD","","CFD"
"912863626","5.63","-0.01","USD","TRADE","PROCESSED","2022-12-18 16:41:35","000c869d-0001-54c4-0000-4b900020737b_000c869d-0001-54c4-0000-0000803a0264","CHZ/USD","Chiliz / USD","","CFD"
"912863538","5.64","-0.04","USD","TRADE","PROCESSED","2022-12-18 16:37:35","0004405d-0001-54c4-0000-4b9000205fe9_0004405d-0001-54c4-0000-0000805a0506","ADA/USD","Cardano / USD","","CFD"
"912863525","5.68","-0.01","USD","TRADE","PROCESSED","2022-12-18 16:36:41","000c869d-0001-54c4-0000-4b9000205c32_000c869d-0001-54c4-0000-0000803a0256","CHZ/USD","Chiliz / USD","","CFD"
"912863491","5.69","-0.01","USD","TRADE","PROCESSED","2022-12-18 16:35:12","0004405d-0001-54c4-0000-4b9000205528_0004405d-0001-54c4-0000-0000805a04fa","ADA/USD","Cardano / USD","","CFD"
"912863455","5.7","-1.23","USD","TRADE","PROCESSED","2022-12-18 16:33:10","0060535d-0009-40dd-0000-4b9000036dc2_0060535d-0009-40dd-0000-000080250195","XEM/BTC","XEM / Bitcoin","","CFD"
"912863322","6.93","0","USD","TRADE","PROCESSED","2022-12-18 16:28:59","0004405d-0009-40dd-0000-4b9000036b78_0004405d-0009-40dd-0000-0000802800a5","ADA/BTC","Cardano / Bitcoin","","CFD"
"912863238","6.93","0","USD","TRADE","PROCESSED","2022-12-18 16:27:55","0004405d-0009-40dd-0000-4b9000036aa0_0004405d-0009-40dd-0000-0000802800a2","ADA/BTC","Cardano / Bitcoin","","CFD"
"912863134","6.93","-0.08","USD","TRADE","PROCESSED","2022-12-18 16:25:05","0069261d-0001-54c4-0000-4b9000202027_0069261d-0001-54c4-0000-000080410195","0x/USD","0x / USD","","CFD"
